h_fbs;Jroll;Jpitch;Jyaw;Jtotal;Jqs;Jc
3;0.106729;0.086577;0.02154;0.214846;1110.27;2.301977
4;0.308704;0.176376;0.008685;0.493765;1130.02;2.455324
4.5;0.281616;0.22205;0.011301;0.514967;1061.63;2.326483
4.75;0.109448;0.05589;0.011644;0.176681;1119.96;2.308098
5;0.051107;0.079529;0.003181;0.133881;1258.75;2.570285
5.25;0.054535;0.073225;0.012918;0.140678;1197.13;2.44782
5.5;0.175036;0.06807;0.012314;0.25542;1133.04;2.365542
6;0.314017;0.117436;0.005878;0.437331;1001.2;2.175725
7;0.274082;0.123362;0.014903;0.412347;1173.36;2.508281
12;0.076737;0.053241;0.021886;0.151863;1115;2.286238
inf;0.117325;0.249973;0.023825;0.391123;1376.48;2.904277
